,href,name,id,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
11,https://api.spotify.com/v1/tracks/3NRql0A1Ef4RCvT473iqgD,Hell N Back,3NRql0A1Ef4RCvT473iqgD,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3K2Srho6NCF3o9MswGR76H'}, 'href': 'https://api.spotify.com/v1/artists/3K2Srho6NCF3o9MswGR76H', 'id': '3K2Srho6NCF3o9MswGR76H', 'name': 'Bakar', 'type': 'artist', 'uri': 'spotify:artist:3K2Srho6NCF3o9MswGR76H'}]",0.633,0.684,10,-4.314,0,0.591,0.314,8.95e-05,0.112,0.725,209.688,audio_features,spotify:track:3NRql0A1Ef4RCvT473iqgD,https://api.spotify.com/v1/tracks/3NRql0A1Ef4RCvT473iqgD,https://api.spotify.com/v1/audio-analysis/3NRql0A1Ef4RCvT473iqgD,213573,4
12,https://api.spotify.com/v1/tracks/6ilc4vQcwMPlvAHFfsTGng,Sweet,6ilc4vQcwMPlvAHFfsTGng,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj'}, 'href': 'https://api.spotify.com/v1/artists/1QAJqy2dA3ihHBFIHRphZj', 'id': '1QAJqy2dA3ihHBFIHRphZj', 'name': 'Cigarettes After Sex', 'type': 'artist', 'uri': 'spotify:artist:1QAJqy2dA3ihHBFIHRphZj'}]",0.449,0.51,6,-9.075,1,0.0278,0.351,0.761,0.139,0.115,96.425,audio_features,spotify:track:6ilc4vQcwMPlvAHFfsTGng,https://api.spotify.com/v1/tracks/6ilc4vQcwMPlvAHFfsTGng,https://api.spotify.com/v1/audio-analysis/6ilc4vQcwMPlvAHFfsTGng,292110,4
13,https://api.spotify.com/v1/tracks/751srcHf5tUqcEa9pRCQwP,Tek It,751srcHf5tUqcEa9pRCQwP,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/581C5Qwl87TskfBEzuoisu'}, 'href': 'https://api.spotify.com/v1/artists/581C5Qwl87TskfBEzuoisu', 'id': '581C5Qwl87TskfBEzuoisu', 'name': 'Cafuné', 'type': 'artist', 'uri': 'spotify:artist:581C5Qwl87TskfBEzuoisu'}]",0.423,0.913,8,-5.354,1,0.0655,6.53e-05,0,0.269,0.596,146.995,audio_features,spotify:track:751srcHf5tUqcEa9pRCQwP,https://api.spotify.com/v1/tracks/751srcHf5tUqcEa9pRCQwP,https://api.spotify.com/v1/audio-analysis/751srcHf5tUqcEa9pRCQwP,191823,4
14,https://api.spotify.com/v1/tracks/1xbOdb9kv5YKBIzJSrKNEy,Stop Waiting,1xbOdb9kv5YKBIzJSrKNEy,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj'}, 'href': 'https://api.spotify.com/v1/artists/1QAJqy2dA3ihHBFIHRphZj', 'id': '1QAJqy2dA3ihHBFIHRphZj', 'name': 'Cigarettes After Sex', 'type': 'artist', 'uri': 'spotify:artist:1QAJqy2dA3ihHBFIHRphZj'}]",0.456,0.336,2,-15.466,1,0.0264,0.333,0.799,0.0737,0.0762,87.435,audio_features,spotify:track:1xbOdb9kv5YKBIzJSrKNEy,https://api.spotify.com/v1/tracks/1xbOdb9kv5YKBIzJSrKNEy,https://api.spotify.com/v1/audio-analysis/1xbOdb9kv5YKBIzJSrKNEy,362973,4
15,https://api.spotify.com/v1/tracks/3p4hRhMcb6ch8OLtATMaLw,Cry,3p4hRhMcb6ch8OLtATMaLw,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj'}, 'href': 'https://api.spotify.com/v1/artists/1QAJqy2dA3ihHBFIHRphZj', 'id': '1QAJqy2dA3ihHBFIHRphZj', 'name': 'Cigarettes After Sex', 'type': 'artist', 'uri': 'spotify:artist:1QAJqy2dA3ihHBFIHRphZj'}]",0.408,0.398,7,-10.448,1,0.0277,0.758,0.654,0.112,0.165,142.834,audio_features,spotify:track:3p4hRhMcb6ch8OLtATMaLw,https://api.spotify.com/v1/tracks/3p4hRhMcb6ch8OLtATMaLw,https://api.spotify.com/v1/audio-analysis/3p4hRhMcb6ch8OLtATMaLw,256800,4
16,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2uYWxilOVlUdk4oV9DvwqK'}, 'href': 'https://api.spotify.com/v1/artists/2uYWxilOVlUdk4oV9DvwqK', 'id': '2uYWxilOVlUdk4oV9DvwqK', 'name': 'Mitski', 'type': 'artist', 'uri': 'spotify:artist:2uYWxilOVlUdk4oV9DvwqK'}]",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,audio_features,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,137773,4
17,https://api.spotify.com/v1/tracks/1c5CllrZr45UBhWpIqM332,Funny Thing,1c5CllrZr45UBhWpIqM332,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4frXpPxQQZwbCu3eTGnZEw'}, 'href': 'https://api.spotify.com/v1/artists/4frXpPxQQZwbCu3eTGnZEw', 'id': '4frXpPxQQZwbCu3eTGnZEw', 'name': 'Thundercat', 'type': 'artist', 'uri': 'spotify:artist:4frXpPxQQZwbCu3eTGnZEw'}]",0.586,0.893,7,-8.772,1,0.439,0.827,0.642,0.212,0.65,140.023,audio_features,spotify:track:1c5CllrZr45UBhWpIqM332,https://api.spotify.com/v1/tracks/1c5CllrZr45UBhWpIqM332,https://api.spotify.com/v1/audio-analysis/1c5CllrZr45UBhWpIqM332,116630,3
18,https://api.spotify.com/v1/tracks/0f8eRy9A0n6zXpKSHSCAEp,Infrunami,0f8eRy9A0n6zXpKSHSCAEp,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/57vWImR43h4CaDao012Ofp'}, 'href': 'https://api.spotify.com/v1/artists/57vWImR43h4CaDao012Ofp', 'id': '57vWImR43h4CaDao012Ofp', 'name': 'Steve Lacy', 'type': 'artist', 'uri': 'spotify:artist:57vWImR43h4CaDao012Ofp'}]",0.826,0.299,9,-7.721,1,0.0446,0.31,0.0952,0.0758,0.215,97.012,audio_features,spotify:track:0f8eRy9A0n6zXpKSHSCAEp,https://api.spotify.com/v1/tracks/0f8eRy9A0n6zXpKSHSCAEp,https://api.spotify.com/v1/audio-analysis/0f8eRy9A0n6zXpKSHSCAEp,178328,4
19,https://api.spotify.com/v1/tracks/1OefEa9FQ4XxiYRC1cv3GI,once in a moon,1OefEa9FQ4XxiYRC1cv3GI,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0MBNzfGHTiPYag4DupDXUj'}, 'href': 'https://api.spotify.com/v1/artists/0MBNzfGHTiPYag4DupDXUj', 'id': '0MBNzfGHTiPYag4DupDXUj', 'name': 'Sarah Kang', 'type': 'artist', 'uri': 'spotify:artist:0MBNzfGHTiPYag4DupDXUj'}]",0.389,0.278,1,-11.696,1,0.0397,0.872,0,0.354,0.31,147.882,audio_features,spotify:track:1OefEa9FQ4XxiYRC1cv3GI,https://api.spotify.com/v1/tracks/1OefEa9FQ4XxiYRC1cv3GI,https://api.spotify.com/v1/audio-analysis/1OefEa9FQ4XxiYRC1cv3GI,245176,3
20,https://api.spotify.com/v1/tracks/7B3z0ySL9Rr0XvZEAjWZzM,Sofia,7B3z0ySL9Rr0XvZEAjWZzM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3l0CmX0FuQjFxr8SK7Vqag'}, 'href': 'https://api.spotify.com/v1/artists/3l0CmX0FuQjFxr8SK7Vqag', 'id': '3l0CmX0FuQjFxr8SK7Vqag', 'name': 'Clairo', 'type': 'artist', 'uri': 'spotify:artist:3l0CmX0FuQjFxr8SK7Vqag'}]",0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,audio_features,spotify:track:7B3z0ySL9Rr0XvZEAjWZzM,https://api.spotify.com/v1/tracks/7B3z0ySL9Rr0XvZEAjWZzM,https://api.spotify.com/v1/audio-analysis/7B3z0ySL9Rr0XvZEAjWZzM,188387,4
21,https://api.spotify.com/v1/tracks/70YTBH8vOGJNMhy6186yFm,Heavenly,70YTBH8vOGJNMhy6186yFm,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj'}, 'href': 'https://api.spotify.com/v1/artists/1QAJqy2dA3ihHBFIHRphZj', 'id': '1QAJqy2dA3ihHBFIHRphZj', 'name': 'Cigarettes After Sex', 'type': 'artist', 'uri': 'spotify:artist:1QAJqy2dA3ihHBFIHRphZj'}]",0.536,0.436,8,-9.187,1,0.0248,0.672,0.697,0.11,0.134,105.13,audio_features,spotify:track:70YTBH8vOGJNMhy6186yFm,https://api.spotify.com/v1/tracks/70YTBH8vOGJNMhy6186yFm,https://api.spotify.com/v1/audio-analysis/70YTBH8vOGJNMhy6186yFm,286773,4
22,https://api.spotify.com/v1/tracks/7nbAMKGkPMjc4EuNNsjXqZ,Neon Moon,7nbAMKGkPMjc4EuNNsjXqZ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj'}, 'href': 'https://api.spotify.com/v1/artists/1QAJqy2dA3ihHBFIHRphZj', 'id': '1QAJqy2dA3ihHBFIHRphZj', 'name': 'Cigarettes After Sex', 'type': 'artist', 'uri': 'spotify:artist:1QAJqy2dA3ihHBFIHRphZj'}]",0.274,0.489,4,-11.102,1,0.0301,0.0984,0.0946,0.102,0.284,180.605,audio_features,spotify:track:7nbAMKGkPMjc4EuNNsjXqZ,https://api.spotify.com/v1/tracks/7nbAMKGkPMjc4EuNNsjXqZ,https://api.spotify.com/v1/audio-analysis/7nbAMKGkPMjc4EuNNsjXqZ,225767,4
23,https://api.spotify.com/v1/tracks/1l4pW7Tklvcc3k38rDFMkk,Touch,1l4pW7Tklvcc3k38rDFMkk,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj'}, 'href': 'https://api.spotify.com/v1/artists/1QAJqy2dA3ihHBFIHRphZj', 'id': '1QAJqy2dA3ihHBFIHRphZj', 'name': 'Cigarettes After Sex', 'type': 'artist', 'uri': 'spotify:artist:1QAJqy2dA3ihHBFIHRphZj'}]",0.484,0.5,6,-9.403,1,0.0241,0.366,0.918,0.102,0.369,95.996,audio_features,spotify:track:1l4pW7Tklvcc3k38rDFMkk,https://api.spotify.com/v1/tracks/1l4pW7Tklvcc3k38rDFMkk,https://api.spotify.com/v1/audio-analysis/1l4pW7Tklvcc3k38rDFMkk,292853,4
24,https://api.spotify.com/v1/tracks/1fDFHXcykq4iw8Gg7s5hG9,About You,1fDFHXcykq4iw8Gg7s5hG9,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3mIj9lX2MWuHmhNCA7LSCW'}, 'href': 'https://api.spotify.com/v1/artists/3mIj9lX2MWuHmhNCA7LSCW', 'id': '3mIj9lX2MWuHmhNCA7LSCW', 'name': 'The 1975', 'type': 'artist', 'uri': 'spotify:artist:3mIj9lX2MWuHmhNCA7LSCW'}]",0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,audio_features,spotify:track:1fDFHXcykq4iw8Gg7s5hG9,https://api.spotify.com/v1/tracks/1fDFHXcykq4iw8Gg7s5hG9,https://api.spotify.com/v1/audio-analysis/1fDFHXcykq4iw8Gg7s5hG9,326491,4
25,https://api.spotify.com/v1/tracks/41P6Tnd8KIHqON0QIydx6a,the perfect pair,41P6Tnd8KIHqON0QIydx6a,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/35l9BRT7MXmM8bv2WDQiyB'}, 'href': 'https://api.spotify.com/v1/artists/35l9BRT7MXmM8bv2WDQiyB', 'id': '35l9BRT7MXmM8bv2WDQiyB', 'name': 'beabadoobee', 'type': 'artist', 'uri': 'spotify:artist:35l9BRT7MXmM8bv2WDQiyB'}]",0.634,0.663,11,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,audio_features,spotify:track:41P6Tnd8KIHqON0QIydx6a,https://api.spotify.com/v1/tracks/41P6Tnd8KIHqON0QIydx6a,https://api.spotify.com/v1/audio-analysis/41P6Tnd8KIHqON0QIydx6a,177533,4
26,https://api.spotify.com/v1/tracks/0tMMPZEt6Gyrl9FI8zSicm,Glue Song (feat. Clairo),0tMMPZEt6Gyrl9FI8zSicm,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/35l9BRT7MXmM8bv2WDQiyB'}, 'href': 'https://api.spotify.com/v1/artists/35l9BRT7MXmM8bv2WDQiyB', 'id': '35l9BRT7MXmM8bv2WDQiyB', 'name': 'beabadoobee', 'type': 'artist', 'uri': 'spotify:artist:35l9BRT7MXmM8bv2WDQiyB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3l0CmX0FuQjFxr8SK7Vqag'}, 'href': 'https://api.spotify.com/v1/artists/3l0CmX0FuQjFxr8SK7Vqag', 'id': '3l0CmX0FuQjFxr8SK7Vqag', 'name': 'Clairo', 'type': 'artist', 'uri': 'spotify:artist:3l0CmX0FuQjFxr8SK7Vqag'}]",0.621,0.393,1,-9.553,1,0.0275,0.778,0.00703,0.104,0.53,113.925,audio_features,spotify:track:0tMMPZEt6Gyrl9FI8zSicm,https://api.spotify.com/v1/tracks/0tMMPZEt6Gyrl9FI8zSicm,https://api.spotify.com/v1/audio-analysis/0tMMPZEt6Gyrl9FI8zSicm,135067,3
27,https://api.spotify.com/v1/tracks/6TWcSqCntZhH5vyc35kkob,John Wayne,6TWcSqCntZhH5vyc35kkob,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj'}, 'href': 'https://api.spotify.com/v1/artists/1QAJqy2dA3ihHBFIHRphZj', 'id': '1QAJqy2dA3ihHBFIHRphZj', 'name': 'Cigarettes After Sex', 'type': 'artist', 'uri': 'spotify:artist:1QAJqy2dA3ihHBFIHRphZj'}]",0.453,0.465,3,-8.392,1,0.0287,0.351,0.883,0.0985,0.178,123.84,audio_features,spotify:track:6TWcSqCntZhH5vyc35kkob,https://api.spotify.com/v1/tracks/6TWcSqCntZhH5vyc35kkob,https://api.spotify.com/v1/audio-analysis/6TWcSqCntZhH5vyc35kkob,258484,4
28,https://api.spotify.com/v1/tracks/7oEQMrBcT9kvJF1mJpk5IP,Bubblegum,7oEQMrBcT9kvJF1mJpk5IP,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj'}, 'href': 'https://api.spotify.com/v1/artists/1QAJqy2dA3ihHBFIHRphZj', 'id': '1QAJqy2dA3ihHBFIHRphZj', 'name': 'Cigarettes After Sex', 'type': 'artist', 'uri': 'spotify:artist:1QAJqy2dA3ihHBFIHRphZj'}]",0.521,0.199,2,-15.366,1,0.0327,0.535,0.807,0.106,0.119,119.658,audio_features,spotify:track:7oEQMrBcT9kvJF1mJpk5IP,https://api.spotify.com/v1/tracks/7oEQMrBcT9kvJF1mJpk5IP,https://api.spotify.com/v1/audio-analysis/7oEQMrBcT9kvJF1mJpk5IP,279133,4
29,https://api.spotify.com/v1/tracks/0j3mqDTK4Z6lvrLzFCUUz6,Good Looking,0j3mqDTK4Z6lvrLzFCUUz6,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5GGJosGMs08YEmKTZJe1fL'}, 'href': 'https://api.spotify.com/v1/artists/5GGJosGMs08YEmKTZJe1fL', 'id': '5GGJosGMs08YEmKTZJe1fL', 'name': 'Suki Waterhouse', 'type': 'artist', 'uri': 'spotify:artist:5GGJosGMs08YEmKTZJe1fL'}]",0.365,0.554,4,-9.076,1,0.03,0.079,0.000358,0.125,0.259,150.11,audio_features,spotify:track:0j3mqDTK4Z6lvrLzFCUUz6,https://api.spotify.com/v1/tracks/0j3mqDTK4Z6lvrLzFCUUz6,https://api.spotify.com/v1/audio-analysis/0j3mqDTK4Z6lvrLzFCUUz6,214800,3
30,https://api.spotify.com/v1/tracks/2AIh751LQ0Nj6flHbhJ2nU,This Night Has Opened My Eyes - 2011 Remaster,2AIh751LQ0Nj6flHbhJ2nU,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3yY2gUcIsjMr8hjo51PoJ8'}, 'href': 'https://api.spotify.com/v1/artists/3yY2gUcIsjMr8hjo51PoJ8', 'id': '3yY2gUcIsjMr8hjo51PoJ8', 'name': 'The Smiths', 'type': 'artist', 'uri': 'spotify:artist:3yY2gUcIsjMr8hjo51PoJ8'}]",0.696,0.628,2,-8.407,1,0.0274,0.00102,0.428,0.272,0.701,100.038,audio_features,spotify:track:2AIh751LQ0Nj6flHbhJ2nU,https://api.spotify.com/v1/tracks/2AIh751LQ0Nj6flHbhJ2nU,https://api.spotify.com/v1/audio-analysis/2AIh751LQ0Nj6flHbhJ2nU,221533,4
31,https://api.spotify.com/v1/tracks/608wYP5XWenLz8cOSYjX7X,Fragile,608wYP5XWenLz8cOSYjX7X,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7gW0r5CkdEUMm42w9XpyZO'}, 'href': 'https://api.spotify.com/v1/artists/7gW0r5CkdEUMm42w9XpyZO', 'id': '7gW0r5CkdEUMm42w9XpyZO', 'name': 'Laufey', 'type': 'artist', 'uri': 'spotify:artist:7gW0r5CkdEUMm42w9XpyZO'}]",0.361,0.413,3,-12.43,1,0.065,0.931,0.000179,0.231,0.336,149.301,audio_features,spotify:track:608wYP5XWenLz8cOSYjX7X,https://api.spotify.com/v1/tracks/608wYP5XWenLz8cOSYjX7X,https://api.spotify.com/v1/audio-analysis/608wYP5XWenLz8cOSYjX7X,241080,4
